类目id:11  类目名称:电脑硬件/显示器/电脑周边 
类目id:50014779  类目名称:户外/登山/野营/旅行用品>通讯/导航/户外表类>指南针/温度计/气压计/高度计 
类目id:50014780  类目名称:户外/登山/野营/旅行用品>通讯/导航/户外表类>GPS/电子导航设备 
类目id:50014781  类目名称:户外/登山/野营/旅行用品>通讯/导航/户外表类>户外功能手表 
类目id:50014782  类目名称:户外/登山/野营/旅行用品>通讯/导航/户外表类>无线电/对讲机/通讯设备 
类目id:50014785  类目名称:户外/登山/野营/旅行用品>户外服装>冲锋衣裤>冲锋衣 
类目id:50014786  类目名称:户外/登山/野营/旅行用品>户外服装>冲锋衣裤>冲锋裤 
类目id:50014787  类目名称:户外/登山/野营/旅行用品>户外服装>抓绒衣裤>抓绒衣 
类目id:50014788  类目名称:户外/登山/野营/旅行用品>户外服装>抓绒衣裤>抓绒裤 
类目id:50014791  类目名称:户外/登山/野营/旅行用品>户外服装>速干衣裤>速干裤 
类目id:50014792  类目名称:户外/登山/野营/旅行用品>户外服装>户外休闲衣裤 
类目id:50014798  类目名称:户外/登山/野营/旅行用品>户外服装>羽绒服>羽绒衣 
类目id:50014799  类目名称:户外/登山/野营/旅行用品>户外服装>保暖棉服>保暖棉衣 
类目id:50014800  类目名称:户外/登山/野营/旅行用品>户外服装>滑雪服>滑雪衣 
类目id:50014801  类目名称:户外/登山/野营/旅行用品>户外服装>滑雪服>滑雪裤 
类目id:50014802  类目名称:户外/登山/野营/旅行用品>户外服装>户外休闲衣裤>户外休闲衣 
类目id:50014803  类目名称:户外/登山/野营/旅行用品>户外服装>户外休闲衣裤>户外休闲裤 
类目id:50014808  类目名称:电子词典/电纸书/文化用品>教学演示/展示告示用品>旗帜 
类目id:50014809  类目名称:电子词典/电纸书/文化用品>纸张本册>POP广告纸/爆炸贴 
类目id:50014811  类目名称:网店/网络服务/软件 
类目id:50014812  类目名称:尿片/洗护/喂哺/推车床 
类目id:50014813  类目名称:奶粉/辅食/营养品/零食>其它 
类目id:50014817  类目名称:自行车/骑行装备/零配件>自行车整车>二手自行车 
类目id:50014822  类目名称:户外/登山/野营/旅行用品>刀具/多用工具>多功能组合工具 
类目id:50014823  类目名称:户外/登山/野营/旅行用品>刀具/多用工具>工兵铲/工兵锹 
类目id:50014824  类目名称:户外/登山/野营/旅行用品>刀具/多用工具>其他 
类目id:50014827  类目名称:办公设备/耗材/相关服务>服务类>商务礼品个性定制服务 
类目id:50014836  类目名称:户外/登山/野营/旅行用品>炉具/餐具/野餐烧烤用品>野餐炉具 
类目id:50014837  类目名称:户外/登山/野营/旅行用品>炉具/餐具/野餐烧烤用品>套锅/户外炊具 
类目id:50014840  类目名称:户外/登山/野营/旅行用品>炉具/餐具/野餐烧烤用品>野餐餐具 
类目id:50014844  类目名称:尿片/洗护/喂哺/推车床>理发/指甲钳/量温等护理小用品>安全梳子/刷子 
类目id:50014845  类目名称:尿片/洗护/喂哺/推车床>理发/指甲钳/量温等护理小用品>宝宝耳勺/发光耳勺 
类目id:50014846  类目名称:尿片/洗护/喂哺/推车床>宝宝洗浴护肤品>脸盆 
类目id:50014847  类目名称:童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>口罩 
类目id:50014848  类目名称:孕妇装/孕产妇用品/营养>产妇帽/孕妇袜/孕妇鞋>孕妇袜/连裤袜/打底袜 
类目id:50014849  类目名称:尿片/洗护/喂哺/推车床>防撞/提醒/安全/保护>床护栏 
类目id:50014850  类目名称:网店/网络服务/软件>网店服务 
类目id:50014851  类目名称:网店/网络服务/软件>云计算 
类目id:50014852  类目名称:网店/网络服务/软件>程序/软件开发 
类目id:50014853  类目名称:网店/网络服务/软件>多媒体/摄影 
类目id:50014854  类目名称:个性定制/设计服务/DIY>设计服务 
类目id:50014855  类目名称:网店/网络服务/软件>物流服务 
类目id:50014882  类目名称:本地化生活服务>开发/建站服务>建站一体服务 
类目id:50014886  类目名称:户外/登山/野营/旅行用品>户外照明>营地灯/帐篷灯 
类目id:50014887  类目名称:户外/登山/野营/旅行用品>户外照明>头灯 
类目id:50014894  类目名称:户外/登山/野营/旅行用品>炉具/餐具/野餐烧烤用品>其他 
类目id:50014897  类目名称:网店/网络服务/软件>云计算>网络推广 
类目id:50014899  类目名称:汽车/用品/配件/改装>汽车美容/保养/维修>汽车维修/工具>其它汽车维修/工具 
类目id:50014906  类目名称:网店/网络服务/软件>程序/软件开发>系统维护 
类目id:50014907  类目名称:网店/网络服务/软件>程序/软件开发>系统架构策划 
类目id:50014908  类目名称:网店/网络服务/软件>程序/软件开发>数据库 
类目id:50014909  类目名称:网店/网络服务/软件>程序/软件开发>软件界面设计 
类目id:50014910  类目名称:网店/网络服务/软件>程序/软件开发>软件产品设计 
类目id:50014911  类目名称:本地化生活服务>开发/建站服务>开发 
类目id:50014912  类目名称:网店/网络服务/软件>程序/软件开发>脚本/工具 
类目id:50014913  类目名称:网店/网络服务/软件>程序/软件开发>其他程序/软件开发 
类目id:50014915  类目名称:本地化生活服务>文字类服务>office办公制作 
类目id:50014916  类目名称:网店/网络服务/软件>多媒体/摄影>电子相册制作 
类目id:50014918  类目名称:本地化生活服务>多媒体服务>图片设计/处理>图片处理 
类目id:50014921  类目名称:家装主材>卫浴用品>卫浴配件>其它卫浴配件 
类目id:50014923  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印 
类目id:50014927  类目名称:教育培训 
类目id:50014929  类目名称:本地化生活服务>商务服务 
类目id:50014931  类目名称:本地化生活服务>多媒体服务>视频/音频/电子相册制作>音频制作/处理 
类目id:50014935  类目名称:个性定制/设计服务/DIY>设计服务>FLASH/动画制作 
类目id:50014936  类目名称:个性定制/设计服务/DIY>设计服务>服饰设计 
类目id:50014937  类目名称:个性定制/设计服务/DIY>设计服务>工业设计 
类目id:50014939  类目名称:个性定制/设计服务/DIY>设计服务>装饰工程 
类目id:50014941  类目名称:个性定制/设计服务/DIY>设计服务>卡通/动漫/插画设计 
类目id:50014942  类目名称:个性定制/设计服务/DIY>设计服务>平面设计 
类目id:50014943  类目名称:个性定制/设计服务/DIY>日用/装饰定制>人偶/公仔定制 
类目id:50014944  类目名称:个性定制/设计服务/DIY>日用/装饰定制>图案印制类 
类目id:50014945  类目名称:个性定制/设计服务/DIY>其它定制>其它商品定制 
类目id:50014946  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>广告位招租 
类目id:50014947  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>广告语设计 
类目id:50014948  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>广告制作 
类目id:50014949  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>会展服务 
类目id:50014950  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>活动策划 
类目id:50014954  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>推广文案撰写 
类目id:50014956  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>信息发布 
类目id:50014957  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>其他广告营销服务 
类目id:50014967  类目名称:婚庆/摄影/摄像服务>婚礼策划 
类目id:50014978  类目名称:个性定制/设计服务/DIY>设计服务>工业设计>家居产品设计 
类目id:50014979  类目名称:个性定制/设计服务/DIY>设计服务>工业设计>礼品/工艺品/饰品设计 
类目id:50014980  类目名称:个性定制/设计服务/DIY>设计服务>工业设计>数码/电脑产品设计 
类目id:50014984  类目名称:个性定制/设计服务/DIY>设计服务>工业设计>通信产品设计 
类目id:50014985  类目名称:个性定制/设计服务/DIY>设计服务>工业设计>照明灯具设计 
类目id:50014986  类目名称:个性定制/设计服务/DIY>设计服务>工业设计>仪器仪表设计 
类目id:50014987  类目名称:个性定制/设计服务/DIY>设计服务>工业设计>机械设计 
类目id:50014989  类目名称:个性定制/设计服务/DIY>设计服务>工业设计>汽车及配件设计 
类目id:50014990  类目名称:个性定制/设计服务/DIY>设计服务>工业设计>五金/工具设计 
类目id:50014991  类目名称:个性定制/设计服务/DIY>设计服务>工业设计>电工电器设计 
类目id:50014992  类目名称:个性定制/设计服务/DIY>设计服务>工业设计>玩具/玩偶设计 
类目id:50014993  类目名称:个性定制/设计服务/DIY>设计服务>工业设计>其他工业设计 
类目id:50014994  类目名称:个性定制/设计服务/DIY>设计服务>装饰工程>装潢设计 
类目id:50014995  类目名称:个性定制/设计服务/DIY>设计服务>装饰工程>家电布线设计 
类目id:50014996  类目名称:个性定制/设计服务/DIY>设计服务>装饰工程>建筑及模型设计 
类目id:50014997  类目名称:个性定制/设计服务/DIY>设计服务>平面设计>宣传册设计 
类目id:50014999  类目名称:个性定制/设计服务/DIY>设计服务>平面设计>店面招牌 
类目id:50015001  类目名称:个性定制/设计服务/DIY>设计服务>平面设计>包装设计 
类目id:50015002  类目名称:个性定制/设计服务/DIY>设计服务>平面设计>名片设计 
类目id:50015047  类目名称:教育培训>学历/职业资格考试>其他职业资格认证培训 
类目id:50015053  类目名称:尿片/洗护/喂哺/推车床>理发/指甲钳/量温等护理小用品>温湿度计/室温计 
类目id:50015062  类目名称:本地化生活服务>商务服务>会计服务 
类目id:50015065  类目名称:本地化生活服务>商务服务>猎头招聘 
类目id:50015084  类目名称:个性定制/设计服务/DIY>日用/装饰定制>打火机 
类目id:50015085  类目名称:个性定制/设计服务/DIY>服饰箱包定制>鞋类定制>手绘鞋 
类目id:50015086  类目名称:个性定制/设计服务/DIY>服饰箱包定制>箱包定制>手绘包/包包定制 
类目id:50015088  类目名称:个性定制/设计服务/DIY>日用/装饰定制>手绘真人漫画/画类定制 
类目id:50015104  类目名称:个性定制/设计服务/DIY>日用/装饰定制>人偶/公仔定制>软陶人偶 
类目id:50015105  类目名称:个性定制/设计服务/DIY>日用/装饰定制>人偶/公仔定制>立体人面公仔 
类目id:50015112  类目名称:个性定制/设计服务/DIY>服饰箱包定制>服装定制>T恤印制 
类目id:50015115  类目名称:个性定制/设计服务/DIY>办公/文具定制>鼠标垫 
类目id:50015116  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>会展服务>展台设计制作 
类目id:50015117  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>会展服务>展台搭建 
类目id:50015118  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>会展服务>展览馆 
类目id:50015119  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>会展服务>宣传品设计 
类目id:50015120  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>会展服务>礼仪服务 
类目id:50015121  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>会展服务>宾馆服务 
类目id:50015122  类目名称:本地化生活服务>广告制作/传统印刷/打印/复印>会展服务>其他会展服务 
类目id:50015123  类目名称:本地化生活服务>文字类服务>写作/文字需求服务>文章写作 
类目id:50015125  类目名称:本地化生活服务>文字类服务>写作/文字需求服务>宣传文案 
类目id:50015126  类目名称:本地化生活服务>文字类服务>写作/文字需求服务>方案策划 
类目id:50015127  类目名称:玩具/童车/益智/积木/模型>学习/实验/绘画文具 
类目id:50015128  类目名称:玩具/童车/益智/积木/模型>学习/实验/绘画文具>描红本/涂色本 
类目id:50015129  类目名称:玩具/童车/益智/积木/模型>学习/实验/绘画文具>文具礼盒/绘画套装 
类目id:50015132  类目名称:玩具/童车/益智/积木/模型>学习/实验/绘画文具>削笔器/削笔刀 
类目id:50015134  类目名称:传统滋补营养品>鹿茸 
类目id:50015135  类目名称:传统滋补营养品>鹿茸>鹿茸片 
类目id:50015136  类目名称:传统滋补营养品>鹿茸>鹿茸枝 
类目id:50015137  类目名称:传统滋补营养品>鹿茸>鹿胎膏 
类目id:50015138  类目名称:厨房电器>厨房家电配件>电热水壶/保健养生壶配件 
类目id:50015148  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>小型喷雾壶 
类目id:50015149  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>水枪/地埋式喷头 
类目id:50015150  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>水枪/地埋式喷头>地埋旋转喷头 
类目id:50015151  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>水枪/地埋式喷头>地埋散射喷头 
类目id:50015152  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>水枪/地埋式喷头>水枪 
类目id:50015153  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>水枪/地埋式喷头>水车架 
类目id:50015154  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>水枪/地埋式喷头>接头等配件 
类目id:50015155  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>水枪/地埋式喷头>高压清洗机 
类目id:50015157  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>水枪/地埋式喷头>10米清洗套装 
类目id:50015158  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>水枪/地埋式喷头>15米清洗套装 
类目id:50015159  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>水枪/地埋式喷头>20米清洗套装 
类目id:50015160  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>水枪/地埋式喷头>30米清洗套装 
类目id:50015161  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>水枪/地埋式喷头>清洗刷 
类目id:50015163  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>微喷/滴灌/接头类 
类目id:50015164  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>微喷/滴灌/接头类>雾化微喷/滴灌设备 
类目id:50015165  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>微喷/滴灌/接头类>常用简易接头 
类目id:50015167  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>摇臂/景观喷头 
类目id:50015168  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>摇臂/景观喷头>金属摇臂喷头 
类目id:50015169  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>摇臂/景观喷头>塑料摇臂喷头 
类目id:50015170  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>摇臂/景观喷头>喷泉/水景景观喷头 
类目id:50015171  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>取水/灌溉设备 
类目id:50015181  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>取水/灌溉设备>取水阀 
类目id:50015182  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>取水/灌溉设备>千秋架 
类目id:50015183  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>取水/灌溉设备>阀门箱 
类目id:50015184  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>取水/灌溉设备>过滤器 
类目id:50015185  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>取水/灌溉设备>控制器 
类目id:50015186  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>取水/灌溉设备>感应器 
类目id:50015187  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>取水/灌溉设备>电磁阀 
类目id:50015188  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>防护手套 
类目id:50015190  类目名称:鲜花速递/花卉仿真/绿植园艺>园艺用品>打草绳等其他绳子 
类目id:50015194  类目名称:传统滋补营养品>灵芝 
类目id:50015195  类目名称:传统滋补营养品>灵芝>整枝灵芝 
类目id:50015196  类目名称:传统滋补营养品>灵芝>灵芝片 
类目id:50015197  类目名称:传统滋补营养品>灵芝>灵芝粉 
类目id:50015198  类目名称:传统滋补营养品>灵芝>灵芝孢子粉 
类目id:50015200  类目名称:住宅家具>床类 
类目id:50015202  类目名称:住宅家具>床类>高低/子母床 
类目id:50015207  类目名称:传统滋补营养品>枸杞及其制品 
类目id:50015209  类目名称:传统滋补营养品>枸杞及其制品>枸杞制品 
类目id:50015210  类目名称:鲜花速递/花卉仿真/绿植园艺>商务用花 
类目id:50015211  类目名称:传统滋补营养品>雪蛤/林蛙油 
类目id:50015213  类目名称:传统滋补营养品>雪蛤/林蛙油>雪蛤干 
类目id:50015214  类目名称:传统滋补营养品>雪蛤/林蛙油>雪蛤油 
类目id:50015215  类目名称:鲜花速递/花卉仿真/绿植园艺>追悼/奠仪用花 
类目id:50015218  类目名称:传统滋补营养品>药食同源食品 
类目id:50015219  类目名称:传统滋补营养品>阿胶膏方 
类目id:50015221  类目名称:传统滋补营养品>阿胶膏方>阿胶膏/固元膏 
类目id:50015222  类目名称:传统滋补营养品>阿胶膏方>阿胶浆 
类目id:50015223  类目名称:传统滋补营养品>阿胶膏方>阿胶原粉 
类目id:50015227  类目名称:传统滋补营养品>其他传统滋补品>藏红花 
类目id:50015228  类目名称:传统滋补营养品>其他传统滋补品>益母草 
类目id:50015229  类目名称:户外/登山/野营/旅行用品>户外休闲家具>充气床 
类目id:50015230  类目名称:住宅家具>户外/庭院家具 
类目id:50015231  类目名称:住宅家具>户外/庭院家具>伞具 
类目id:50015232  类目名称:住宅家具>户外/庭院家具>坐具 
类目id:50015233  类目名称:住宅家具>户外/庭院家具>伞具>遮阳伞 
类目id:50015234  类目名称:住宅家具>户外/庭院家具>伞具>伞坐 
类目id:50015236  类目名称:住宅家具>户外/庭院家具>坐具>公园椅 
类目id:50015239  类目名称:住宅家具>户外/庭院家具>桌 
类目id:50015240  类目名称:住宅家具>户外/庭院家具>桌>沙滩桌 
类目id:50015241  类目名称:住宅家具>户外/庭院家具>桌>公园桌 
类目id:50015242  类目名称:住宅家具>户外/庭院家具>桌椅套件 
类目id:50015243  类目名称:住宅家具>户外/庭院家具>户外床 
类目id:50015244  类目名称:住宅家具>户外/庭院家具>户外床>吊床 
类目id:50015245  类目名称:住宅家具>户外/庭院家具>户外床>躺床 
类目id:50015246  类目名称:住宅家具>户外/庭院家具>户外床>折叠床 
类目id:50015248  类目名称:住宅家具>户外/庭院家具>木屋凉亭 
类目id:50015249  类目名称:住宅家具>户外/庭院家具>垃圾筒 
类目id:50015262  类目名称:宠物/宠物食品及用品>狗零食 
类目id:50015272  类目名称:传统滋补营养品>药食同源食品>其他药食同源食品 
类目id:50015273  类目名称:户外/登山/野营/旅行用品>户外照明>其他灯 
类目id:50015276  类目名称:个性定制/设计服务/DIY>服饰箱包定制>服装定制>礼服定制 
类目id:50015277  类目名称:个性定制/设计服务/DIY>服饰箱包定制>服装定制>旗袍定制 
类目id:50015278  类目名称:个性定制/设计服务/DIY>服饰箱包定制>服装定制>婚纱礼服 
类目id:50015280  类目名称:个性定制/设计服务/DIY>服饰箱包定制>服装定制>舞台演出/舞蹈服装定制 
类目id:50015281  类目名称:个性定制/设计服务/DIY>服饰箱包定制>服装定制>工作服/校服/商务服定制 
类目id:50015282  类目名称:个性定制/设计服务/DIY>服饰箱包定制>服装定制>针织类定制 
类目id:50015283  类目名称:个性定制/设计服务/DIY>服饰箱包定制>服装定制>民族服装定制 
类目id:50015284  类目名称:鲜花速递/花卉仿真/绿植园艺>婚礼鲜花布置>玫瑰花瓣 
类目id:50015285  类目名称:宠物/宠物食品及用品>猫/狗日用品 
类目id:50015288  类目名称:宠物/宠物食品及用品>猫/狗保健品 
类目id:50015292  类目名称:宠物/宠物食品及用品>兔类及其用品 
类目id:50015293  类目名称:宠物/宠物食品及用品>仓鼠类及其它小宠 
类目id:50015294  类目名称:宠物/宠物食品及用品>马类及其用品 
类目id:50015295  类目名称:宠物/宠物食品及用品>美容/寄养/配种/托运等服务 
类目id:50015297  类目名称:个性定制/设计服务/DIY>日用/装饰定制>杯子定制>运动水壶 
类目id:50015298  类目名称:个性定制/设计服务/DIY>日用/装饰定制>木版画/装饰画 
类目id:50015299  类目名称:个性定制/设计服务/DIY>日用/装饰定制>个性报纸定制 
类目id:50015300  类目名称:个性定制/设计服务/DIY>办公/文具定制>趣味证书/奖状 
类目id:50015301  类目名称:个性定制/设计服务/DIY>办公/文具定制>背胶证件照 
类目id:50015302  类目名称:个性定制/设计服务/DIY>日用/装饰定制>贺卡/卡贴 
类目id:50015303  类目名称:个性定制/设计服务/DIY>日用/装饰定制>卡牌/扑克/邮票 
类目id:50015304  类目名称:个性定制/设计服务/DIY>办公/文具定制>笔记本定制 
类目id:50015305  类目名称:个性定制/设计服务/DIY>日用/装饰定制>贴纸/名字条 
类目id:50015306  类目名称:本地化生活服务>商务服务>安全保卫 
类目id:50015308  类目名称:本地化生活服务>商务服务>进出口代理 
类目id:50015314  类目名称:本地化生活服务>商务服务>市场调研 
类目id:50015315  类目名称:本地化生活服务>商务服务>物业管理 
类目id:50015317  类目名称:个性定制/设计服务/DIY>饰品定制>项链定制 
类目id:50015318  类目名称:个性定制/设计服务/DIY>日用/装饰定制>竹简定制 
类目id:50015322  类目名称:宠物/宠物食品及用品>猫/狗日用品>窝/屋/帐篷 
类目id:50015323  类目名称:宠物/宠物食品及用品>猫/狗日用品>笼子 
类目id:50015325  类目名称:宠物/宠物食品及用品>猫/狗日用品>背包/箱包 
类目id:50015326  类目名称:宠物/宠物食品及用品>猫/狗日用品>航空箱 
类目id:50015327  类目名称:宠物/宠物食品及用品>猫/狗日用品>专业比赛牵引带 
类目id:50015328  类目名称:宠物/宠物食品及用品>猫/狗日用品>家用牵引带 
类目id:50015330  类目名称:宠物/宠物食品及用品>猫/狗日用品>项圈 
类目id:50015331  类目名称:宠物/宠物食品及用品>猫/狗日用品>嘴套 
类目id:50015333  类目名称:宠物/宠物食品及用品>猫/狗日用品>储粮桶 
类目id:50015334  类目名称:宠物/宠物食品及用品>猫/狗日用品>饮水器/水壶/水头 
类目id:50015335  类目名称:宠物/宠物食品及用品>猫/狗日用品>散热板 
类目id:50015336  类目名称:宠物/宠物食品及用品>猫/狗日用品>电热板/电热毯 
类目id:50015338  类目名称:宠物/宠物食品及用品>猫/狗日用品>诱导剂 
类目id:50015341  类目名称:宠物/宠物食品及用品>猫/狗日用品>止吠器 
类目id:50015342  类目名称:宠物/宠物食品及用品>猫/狗日用品>语言翻译机 
类目id:50015369  类目名称:运动包/户外包/配件>运动帽 
类目id:50015370  类目名称:运动包/户外包/配件>手套 
类目id:50015371  类目名称:运动包/户外包/配件>头巾/遮耳 
类目id:50015372  类目名称:运动包/户外包/配件>围巾/围脖 
类目id:50015373  类目名称:运动包/户外包/配件>雪套/套脚 
类目id:50015374  类目名称:运动包/户外包/配件>运动袜 
类目id:50015376  类目名称:运动包/户外包/配件>其他服饰配件 
类目id:50015377  类目名称:运动包/户外包/配件>雨衣/雨裤/雨披 
类目id:50015380  类目名称:宠物/宠物食品及用品>犬主粮 
类目id:50015382  类目名称:大家电>厨房大电>燃气灶 
类目id:50015396  类目名称:户外/登山/野营/旅行用品>户外服装>其他户外服装 
类目id:50015397  类目名称:厨房电器>电陶炉 
类目id:50015429  类目名称:商业/办公家具>办公家具>办公柜类>更衣柜 
类目id:50015430  类目名称:商业/办公家具>办公家具>钥匙箱 
类目id:50015433  类目名称:商业/办公家具>办公家具>办公柜类>矮柜 
类目id:50015434  类目名称:商业/办公家具>办公家具>接待台 
类目id:50015435  类目名称:商业/办公家具>办公家具>办公桌 
类目id:50015437  类目名称:商业/办公家具>办公家具>办公桌>组合/屏风工作位 
类目id:50015439  类目名称:商业/办公家具>办公家具>办公桌>阅览桌 
类目id:50015441  类目名称:商业/办公家具>办公家具>会客沙发/茶几 
类目id:50015442  类目名称:商业/办公家具>办公家具>会客沙发/茶几>沙发 
类目id:50015443  类目名称:商业/办公家具>办公家具>会客沙发/茶几>茶几 
类目id:50015444  类目名称:商业/办公家具>办公家具>办公椅 
类目id:50015446  类目名称:商业/办公家具>办公家具>办公椅>中班椅 
类目id:50015454  类目名称:商业/办公家具>办公家具>办公椅>会议椅/会客椅 
类目id:50015455  类目名称:住宅家具>坐具类 
类目id:50015457  类目名称:住宅家具>沙发类>沙发床 
类目id:50015458  类目名称:住宅家具>沙发类>懒人沙发 
类目id:50015459  类目名称:商业/办公家具>办公家具>办公椅>前台椅/吧椅 
类目id:50015461  类目名称:住宅家具>坐具类>椅类 
类目id:50015462  类目名称:住宅家具>坐具类>凳类 
类目id:50015467  类目名称:汽车/用品/配件/改装>汽车影音/车用电子/电器>车用电子/电器>车用电器配件 
类目id:50015471  类目名称:汽车/用品/配件/改装>汽车零配件>冷却系统>压缩机及空调部件 
类目id:50015472  类目名称:商业/办公家具>办公家具>办公椅>休闲椅 
类目id:50015474  类目名称:商业/办公家具>办公家具>屏风隔断 
类目id:50015475  类目名称:商业/办公家具>办公家具>屏风隔断>高隔断/隔墙 
类目id:50015476  类目名称:商业/办公家具>办公家具>屏风隔断>办公屏风/隔断 
类目id:50015477  类目名称:商业/办公家具>办公家具>报刊架 
类目id:50015479  类目名称:商业/办公家具>办公家具>办公椅>椅子配件 
类目id:50015482  类目名称:住宅家具>坐具类>椅类>餐椅 
类目id:50015483  类目名称:住宅家具>坐具类>椅类>沙发椅 
类目id:50015485  类目名称:住宅家具>坐具类>椅类>按摩椅 
类目id:50015487  类目名称:住宅家具>坐具类>椅类>交椅 
类目id:50015488  类目名称:住宅家具>坐具类>椅类>围椅 
类目id:50015489  类目名称:住宅家具>坐具类>椅类>摇椅 
类目id:50015490  类目名称:住宅家具>坐具类>椅类>折叠椅/躺椅 
类目id:50015493  类目名称:商业/办公家具>办公家具>办公柜类>柜子配件 
类目id:50015494  类目名称:住宅家具>坐具类>凳类>矮凳 
类目id:50015495  类目名称:住宅家具>坐具类>凳类>梳妆凳 
类目id:50015496  类目名称:住宅家具>坐具类>凳类>换鞋凳 
类目id:50015498  类目名称:住宅家具>坐具类>凳类>鼓墩/绣墩 
类目id:50015502  类目名称:住宅家具>坐具类>凳类>贵妃榻 
类目id:50015504  类目名称:商业/办公家具>办公家具>办公桌>桌子配件 
类目id:50015506  类目名称:商业/办公家具>办公家具>会客沙发/茶几>沙发配件 
类目id:50015507  类目名称:商业/办公家具>办公家具>其它配件 
类目id:50015510  类目名称:商业/办公家具>办公家具>公共休闲系列 
类目id:50015511  类目名称:商业/办公家具>办公家具>公共休闲系列>餐桌椅系列 
类目id:50015512  类目名称:商业/办公家具>办公家具>公共休闲系列>排椅系列 
类目id:50015514  类目名称:商业/办公家具>办公家具>公共休闲系列>休闲椅系列 
类目id:50015515  类目名称:商业/办公家具>办公家具>公共休闲系列>等候椅系列 
类目id:50015516  类目名称:商业/办公家具>办公家具>公共休闲系列>剧院椅系列 
类目id:50015518  类目名称:商业/办公家具>货架/展柜 
类目id:50015525  类目名称:汽车/用品/配件/改装>汽车零配件>滤芯>机油滤芯 
类目id:50015532  类目名称:商业/办公家具>服装店家具>服装模特 
类目id:50015536  类目名称:汽车/用品/配件/改装>汽车用品/内饰品>驾车个人用品>多功能手电 
类目id:50015539  类目名称:摩托车/装备/配件>摩托车配件>摩托车维修工具 
类目id:50015541  类目名称:商业/办公家具>酒店家具 
类目id:50015542  类目名称:商业/办公家具>酒店家具>酒店沙发 
类目id:50015543  类目名称:商业/办公家具>酒店家具>酒店桌椅 
类目id:50015545  类目名称:商业/办公家具>酒店家具>酒店单间/标间/成套家具 
类目id:50015550  类目名称:商业/办公家具>酒店家具>酒店行李柜 
类目id:50015553  类目名称:商业/办公家具>酒店家具>棋牌桌 
类目id:50015554  类目名称:商业/办公家具>酒店家具>其它酒店家具 
类目id:50015556  类目名称:汽车/用品/配件/改装>汽车用品/内饰品>汽车模型 
类目id:50015558  类目名称:大家电>冷柜/便携冷热箱 
类目id:50015560  类目名称:大家电>冷柜/便携冷热箱>冷柜 
类目id:50015561  类目名称:孕妇装/孕产妇用品/营养>妈妈产前产后用品>看护垫/一次性床垫 
类目id:50015562  类目名称:大家电>冷柜/便携冷热箱>迷你/便携/车载冷热箱 
类目id:50015563  类目名称:大家电>酒柜 
类目id:50015564  类目名称:孕妇装/孕产妇用品/营养>妈妈产前产后用品>月子牙刷 
类目id:50015566  类目名称:住宅家具>二手/闲置专区 
类目id:50015568  类目名称:住宅家具>家具辅料 
